[2019-12-27 21:18:46] main.ERROR: Error: Application is not installed yet.  [] []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_4","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","FPC"],"mode":"matchingTag"}} []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-12-27 21:26:36] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
